"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"KO_vs_Pos","SE","Btbd19","chr4","-",0.0019835634071878,0.142
"KO_vs_Pos","SE","Iqcb1","chr16","+",0.00239906764703233,-0.142
"KO_vs_Pos","SE","Snx21","chr2","+",0.0404235986790244,0.142
"KO_vs_Pos","A3SS","Hdac10","chr15","-",0.0379271015470457,0.141
"KO_vs_Pos","A5SS","Fbxw17","chr13","+",1.70332629409325e-06,0.141
"KO_vs_Pos","A5SS","Bvht","chr18","+",0.000718693837676439,0.141
"KO_vs_Pos","RI","Bcas2","chr3","+",0.000628219135953065,0.141
"KO_vs_Pos","RI","Ankrd24","chr10","+",0.0105739662858486,0.141
"KO_vs_Pos","SE","Kcnn2","chr18","+",0.000108471371037937,-0.141
"KO_vs_Pos","SE","Ppp2r2d","chr7","+",0.0119598532843924,-0.141
"KO_vs_Pos","SE","Nipal2","chr15","-",0.0227461607352075,-0.141
"KO_vs_Pos","SE","Phc3","chr3","-",0.029789733010957,-0.141
"KO_vs_Pos","A3SS","Cd300lg","chr11","+",0.00376938429587167,0.14
"KO_vs_Pos","A3SS","Ccl27a","chr4","-",0.0168533726902127,0.14
"KO_vs_Pos","A5SS","Slf2","chr19","+",0.000584450402601434,-0.14
"KO_vs_Pos","SE","Dst","chr1","+",0,0.14
"KO_vs_Pos","SE","Tom1","chr8","+",0.00015354627422535,-0.14
"KO_vs_Pos","SE","Btd","chr14","+",0.00637856887553101,-0.14
"KO_vs_Pos","SE","Pvt1","chr15","+",0.0279992355320066,0.14
"KO_vs_Pos","SE","Il2rg","chrX","-",0.0448380115776483,-0.14
"KO_vs_Pos","A3SS","Cacna2d2","chr9","+",0.00664745667574764,0.139
"KO_vs_Pos","MXE","Ap1ar","chr3","-",3.23255538369166e-05,-0.139
"KO_vs_Pos","RI","Hmgxb3","chr18","-",9.49512213654972e-05,0.139
"KO_vs_Pos","RI","Cpt1c","chr7","-",0.00134215985346241,-0.139
"KO_vs_Pos","RI","5530601H04Rik","chrX","-",0.00224089366855837,0.139
"KO_vs_Pos","RI","Snapc4","chr2","-",0.0024149896245499,0.139
"KO_vs_Pos","RI","Unc13a","chr8","-",0.00589147018237827,0.139
"KO_vs_Pos","SE","Tbc1d19","chr5","+",0,0.139
"KO_vs_Pos","SE","Prpf4b","chr13","+",6.7931625237309e-13,0.139
"KO_vs_Pos","SE","Zc3h14","chr12","+",1.34666881510044e-05,0.139
"KO_vs_Pos","SE","Emid1","chr11","-",0.000360154648443388,-0.139
"KO_vs_Pos","SE","BC028471","chr5","+",0.000529113946322021,0.139
"KO_vs_Pos","SE","Rasgef1a","chr6","+",0.016838585785091,0.139
"KO_vs_Pos","SE","G2e3","chr12","+",0.0187657362515617,0.139
"KO_vs_Pos","SE","Carnmt1","chr19","+",0.0212825434569744,0.139
"KO_vs_Pos","A3SS","Apbb1","chr7","-",0,0.138
"KO_vs_Pos","A3SS","Clcn2","chr16","-",0.00215793487228093,0.138
"KO_vs_Pos","A5SS","Plch2","chr4","-",0.0494971480212054,0.138
"KO_vs_Pos","MXE","Tcaim","chr9","+",0.0375424608358377,0.138
"KO_vs_Pos","RI","Cstf2","chrX","+",0.000182415921358632,-0.138
"KO_vs_Pos","RI","Pex10","chr4","+",0.0435897176413362,0.138
"KO_vs_Pos","SE","Exoc7","chr11","-",2.75473003858245e-06,-0.138
"KO_vs_Pos","SE","4933439C10Rik","chr11","+",0.00371008257682521,-0.138
"KO_vs_Pos","A3SS","Arhgef40","chr14","+",0.00177231919821258,0.137
"KO_vs_Pos","A5SS","Gm26782","chr14","+",0.0395038811783077,0.137
"KO_vs_Pos","MXE","Tmem106a","chr11","+",0.0129815315753368,-0.137
"KO_vs_Pos","MXE","Birc3","chr9","-",0.0139285345503414,0.137
"KO_vs_Pos","RI","Hmgn3","chr9","-",1.36354820035026e-05,0.137
"KO_vs_Pos","RI","Dalrd3","chr9","+",0.000469082063847731,0.137
"KO_vs_Pos","RI","Naa10","chrX","-",0.00307776823211968,0.137
"KO_vs_Pos","RI","Slc25a45","chr19","+",0.0044109962462575,-0.137
"KO_vs_Pos","SE","Zscan26","chr13","-",1.06890341988725e-13,0.137
"KO_vs_Pos","SE","Tns1","chr1","-",1.0378216346539e-05,-0.137
"KO_vs_Pos","SE","Tbc1d24","chr17","-",0.000235584340743401,0.137
"KO_vs_Pos","SE","Ccdc66","chr14","-",0.0107951759644749,0.137
"KO_vs_Pos","SE","Asap1","chr15","-",0.0137755276680777,0.137
"KO_vs_Pos","SE","Mib2","chr4","-",0.01455618333438,0.137
"KO_vs_Pos","SE","Bvht","chr18","+",0.0281104585045952,-0.137
"KO_vs_Pos","A3SS","Tecpr2","chr12","+",8.69419423215031e-06,-0.136
"KO_vs_Pos","RI","Rusf1","chr7","-",0.00378813483417447,0.136
"KO_vs_Pos","RI","Klhl15","chrX","+",0.0403320889317631,0.136
"KO_vs_Pos","SE","Atp6v0a1","chr11","+",0,0.136
"KO_vs_Pos","SE","Myef2","chr2","-",0,0.136
"KO_vs_Pos","SE","Ralgapa1","chr12","-",8.23911126251052e-08,0.136
"KO_vs_Pos","SE","2410002F23Rik","chr7","+",2.68383091100638e-05,-0.136
"KO_vs_Pos","SE","Tnik","chr3","+",0.000484694570916778,-0.136
"KO_vs_Pos","SE","Akap3","chr6","+",0.00302280429179054,-0.136
"KO_vs_Pos","SE","Setd4","chr16","-",0.00960640928280484,-0.136
"KO_vs_Pos","SE","Cpeb2","chr5","+",0.0270373814734472,0.136
"KO_vs_Pos","SE","Rab28","chr5","-",1.55152303126181e-10,0.135
"KO_vs_Pos","SE","Stox2","chr8","-",3.15942782857975e-08,-0.135
"KO_vs_Pos","SE","Ccnl1","chr3","-",3.14673478625887e-06,0.135
"KO_vs_Pos","SE","Elmo3","chr8","+",0.00541372763469551,-0.135
"KO_vs_Pos","SE","Mpv17","chr5","-",0.0363048201205648,0.135
"KO_vs_Pos","SE","Snap91","chr9","-",0.0461687125154796,-0.135
"KO_vs_Pos","A3SS","Anapc10","chr8","+",4.29627533601759e-05,0.134
"KO_vs_Pos","A3SS","Lins1","chr7","+",0.00311316911627547,0.134
"KO_vs_Pos","A3SS","Jmjd7","chr2","+",0.00664745667574764,0.134
"KO_vs_Pos","MXE","Pate2","chr9","+",0.0227019920256593,-0.134
"KO_vs_Pos","RI","Tedc2","chr17","-",1.30698507590351e-07,0.134
"KO_vs_Pos","SE","Git2","chr5","-",7.04626229573355e-05,0.134
"KO_vs_Pos","SE","Mpp7","chr18","-",7.76585231341128e-05,0.134
"KO_vs_Pos","SE","Kctd17","chr15","+",0.00022849091986752,-0.134
"KO_vs_Pos","SE","Rian","chr12","+",0.0038272195332138,0.134
"KO_vs_Pos","SE","Rap1gap2","chr11","-",0.00564787905955741,-0.134
"KO_vs_Pos","SE","C030037D09Rik","chr11","+",0.0148341466126423,0.134
"KO_vs_Pos","SE","Rad51c","chr11","-",0.0171010048928571,-0.134
"KO_vs_Pos","SE","Syne1","chr10","-",0.0250137391122041,0.134
"KO_vs_Pos","SE","Gpr179","chr11","-",0.0256993162140876,0.134
"KO_vs_Pos","SE","Nagpa","chr16","-",0.0446346651243482,-0.134
"KO_vs_Pos","A5SS","Ccnd3","chr17","+",0.00841528749317618,0.133
"KO_vs_Pos","MXE","Coro7","chr16","-",0.0118458085156686,-0.133
"KO_vs_Pos","RI","Rnf167","chr11","+",5.52737478231933e-09,0.133
"KO_vs_Pos","RI","Hdac10","chr15","-",0.00849008709277797,0.133
"KO_vs_Pos","RI","Tmem176a","chr6","+",0.0178707290505782,-0.133
"KO_vs_Pos","SE","Gmppa","chr1","+",3.95987418012652e-08,-0.133
"KO_vs_Pos","SE","Alkbh3","chr2","-",6.36168709244576e-06,-0.133
"KO_vs_Pos","SE","Tbce","chr13","-",1.41953379434345e-05,-0.133
"KO_vs_Pos","SE","Snap91","chr9","-",2.74577993398122e-05,-0.133
"KO_vs_Pos","SE","Glis1","chr4","+",3.44884039626834e-05,0.133
"KO_vs_Pos","SE","Snap25","chr2","+",0.000425961347042259,0.133
"KO_vs_Pos","SE","Kif1b","chr4","-",0.000949646800514585,0.133
"KO_vs_Pos","SE","Sorbs1","chr19","-",0.00269746484454433,-0.133
"KO_vs_Pos","SE","Hdnr","chr8","+",0.00315333966781429,0.133
"KO_vs_Pos","SE","Ep400","chr5","-",0.00499577932875565,-0.133
"KO_vs_Pos","SE","Eif4g3","chr4","+",0.00665705805097562,0.133
"KO_vs_Pos","SE","Tmem222","chr4","-",0.00794374134626699,0.133
"KO_vs_Pos","SE","Zfp638","chr6","+",0.0195317615907766,-0.133
"KO_vs_Pos","A3SS","Alkbh1","chr12","-",0.000627374604238674,0.132
"KO_vs_Pos","A3SS","Baz1a","chr12","-",0.00370812691088538,0.132
"KO_vs_Pos","A3SS","Edc4","chr8","+",0.00809812973507672,-0.132
"KO_vs_Pos","A3SS","Lrrc36","chr8","+",0.0316298646422562,-0.132
"KO_vs_Pos","A5SS","Arid4b","chr13","+",3.59397033723452e-05,0.132
"KO_vs_Pos","MXE","Ppp4r1l-ps","chr2","-",0.021719597265663,-0.132
"KO_vs_Pos","SE","Med15","chr16","-",4.82936856751158e-09,-0.132
"KO_vs_Pos","SE","BC028471","chr5","+",0.000514484651180137,0.132
"KO_vs_Pos","SE","BC028471","chr5","+",0.000514484651180137,0.132
"KO_vs_Pos","SE","Dynlt5","chr4","+",0.00204909973139582,0.132
"KO_vs_Pos","SE","Pnpla3","chr15","+",0.00337312407164173,-0.132
"KO_vs_Pos","SE","Zfp644","chr5","-",0.00770662389357664,-0.132
"KO_vs_Pos","SE","Mllt10","chr2","+",0.00790383606608261,0.132
"KO_vs_Pos","SE","Prdx6","chr1","-",0.0107449029099633,-0.132
"KO_vs_Pos","SE","Ythdf3","chr3","+",0.0234354036885211,0.132
"KO_vs_Pos","SE","Metap2","chr10","-",0.0491780684105005,0.132
"KO_vs_Pos","A3SS","Nr1h2","chr7","-",0.00024370095994069,-0.131
"KO_vs_Pos","A3SS","Agrn","chr4","-",0.00392848831561022,0.131
"KO_vs_Pos","A3SS","Unc79","chr12","+",0.0351207323596286,0.131
"KO_vs_Pos","A5SS","Sema3f","chr9","-",0.00161084932717756,-0.131
"KO_vs_Pos","MXE","Ppig","chr2","+",0.0149622698647121,-0.131
"KO_vs_Pos","RI","Osgep","chr14","-",0.0241642772716807,0.131
"KO_vs_Pos","RI","Nr1h3","chr2","-",0.047753402502525,0.131
"KO_vs_Pos","SE","Pprc1","chr19","+",1.44415740675274e-07,-0.131
"KO_vs_Pos","SE","Tango2","chr16","-",0.0112867143486096,0.131
"KO_vs_Pos","SE","Atpsckmt","chr15","+",0.0314592685825195,-0.131
"KO_vs_Pos","A3SS","Tmem94","chr11","+",0.00662390842766265,-0.13
"KO_vs_Pos","SE","Tpd52","chr3","-",0,-0.13
"KO_vs_Pos","SE","Ccdc82","chr9","+",1.66629230961347e-09,0.13
"KO_vs_Pos","SE","Slc29a1","chr17","-",5.79735287862968e-08,-0.13
"KO_vs_Pos","SE","Ank2","chr3","-",0.000167830051437542,0.13
"KO_vs_Pos","SE","Rab3gap1","chr1","+",0.00030251663927304,-0.13
"KO_vs_Pos","SE","Cep44","chr8","-",0.00214579515835895,-0.13
"KO_vs_Pos","SE","Srsf9","chr5","+",0.00277362387783318,0.13
"KO_vs_Pos","SE","Galnt7","chr8","-",0.00429632664747487,0.13
"KO_vs_Pos","SE","Nup155","chr15","+",0.00717440076348291,-0.13
"KO_vs_Pos","SE","Ggt5","chr10","+",0.0305006109150397,0.13
"KO_vs_Pos","A3SS","Dcp1b","chr6","+",0.0160809435812364,0.129
"KO_vs_Pos","A3SS","Speg","chr1","+",0.0186998598176228,-0.129
"KO_vs_Pos","A5SS","Sema6c","chr3","+",0.00294530509939458,0.129
"KO_vs_Pos","A5SS","Capn15","chr17","-",0.00327717191212765,0.129
"KO_vs_Pos","MXE","Cfap45","chr1","+",0.0123309731654955,0.129
"KO_vs_Pos","MXE","Entpd6","chr2","+",0.0159757090269913,0.129
"KO_vs_Pos","RI","Chkb","chr15","-",7.25672806957377e-09,0.129
"KO_vs_Pos","SE","R3hdm1","chr1","+",0.000192680856441911,-0.129
"KO_vs_Pos","SE","Zic4","chr9","+",0.0037297358914733,0.129
"KO_vs_Pos","SE","Ttc3","chr16","+",0.00537210964502875,0.129
"KO_vs_Pos","SE","Hpse","chr5","-",0.0081786891804548,0.129
"KO_vs_Pos","SE","Ppfia1","chr7","-",0.0131647435875794,-0.129
"KO_vs_Pos","SE","Hps3","chr3","-",0.037242117619901,0.129
"KO_vs_Pos","A3SS","Mmadhc","chr2","-",0.0174352684983119,0.128
"KO_vs_Pos","A5SS","Tedc2","chr17","-",3.28834102804354e-11,0.128
"KO_vs_Pos","MXE","Dgat1","chr15","-",0.00392789559504128,-0.128
"KO_vs_Pos","RI","Raf1","chr6","-",1.7976911169577e-09,0.128
"KO_vs_Pos","RI","Entr1","chr2","-",0.000337383662030565,0.128
"KO_vs_Pos","RI","Capn15","chr17","-",0.00210423153641401,0.128
"KO_vs_Pos","SE","Plekha6","chr1","+",1.83171971828045e-07,-0.128
"KO_vs_Pos","SE","Abi2","chr1","+",1.97776564662084e-07,-0.128
"KO_vs_Pos","SE","Platr20","chr11","-",0.00688166872203022,-0.128
"KO_vs_Pos","A5SS","Arhgap9","chr10","+",0.00677361357396839,-0.127
"KO_vs_Pos","MXE","Racgap1","chr15","-",5.24636957804311e-06,-0.127
"KO_vs_Pos","MXE","Nme6","chr9","+",0.0154835878873007,-0.127
"KO_vs_Pos","RI","Rian","chr12","+",0.00360628151470051,0.127
"KO_vs_Pos","RI","4933431E20Rik","chr3","-",0.0428365678572093,0.127
"KO_vs_Pos","SE","Cald1","chr6","+",0,-0.127
"KO_vs_Pos","SE","Gatad2a","chr8","-",0,-0.127
"KO_vs_Pos","SE","Clasp1","chr1","+",5.13835540335706e-06,-0.127
"KO_vs_Pos","SE","Mitf","chr6","+",0.000429076293549973,0.127
"KO_vs_Pos","SE","Kif23","chr9","-",0.00150922523810647,0.127
"KO_vs_Pos","SE","Maz","chr7","-",0.001960555779403,0.127
"KO_vs_Pos","SE","Erlin2","chr8","+",0.0139820075808807,-0.127
"KO_vs_Pos","SE","Zbtb20","chr16","+",0.0429504966517737,-0.127
"KO_vs_Pos","A5SS","Slc6a9","chr4","+",0.00785519029838595,0.126
"KO_vs_Pos","A5SS","4930412C18Rik","chr4","+",0.0447554854729543,0.126
"KO_vs_Pos","MXE","Mettl2","chr11","+",0.00194221279937325,0.126
"KO_vs_Pos","MXE","Map4k3","chr17","-",0.0155449986268899,0.126
"KO_vs_Pos","MXE","9930021J03Rik","chr19","-",0.0215661811436483,0.126
"KO_vs_Pos","MXE","Med8","chr4","+",0.0235549049295545,-0.126
"KO_vs_Pos","MXE","Sh3pxd2a","chr19","-",0.0307942768232957,0.126
"KO_vs_Pos","MXE","Dennd5b","chr6","-",0.0310869181775345,0.126
"KO_vs_Pos","MXE","Ing3","chr6","+",0.0353344556647515,0.126
"KO_vs_Pos","RI","Ist1","chr8","-",1.51489575429672e-09,0.126
"KO_vs_Pos","RI","Hsd17b8","chr17","-",2.23881676223012e-06,-0.126
"KO_vs_Pos","RI","Jak3","chr8","+",3.05343080329117e-05,0.126
"KO_vs_Pos","SE","Acin1","chr14","-",4.3985735191959e-07,-0.126
"KO_vs_Pos","SE","Eif5a","chr11","-",0.00030251663927304,-0.126
"KO_vs_Pos","SE","Cenpu","chr8","+",0.000727402026057306,-0.126
"KO_vs_Pos","SE","BC065397","chrX","+",0.00815962052237562,0.126
"KO_vs_Pos","SE","Tbl1xr1","chr3","+",0.00953328214400579,-0.126
"KO_vs_Pos","SE","Fbxo48","chr11","+",0.0322334255067152,-0.126
"KO_vs_Pos","SE","Tmem68","chr4","-",0.040974247241803,-0.126
"KO_vs_Pos","A3SS","Gtpbp3","chr8","+",3.37853842444145e-06,0.125
"KO_vs_Pos","A3SS","Fastkd3","chr13","+",0.00146156836810817,-0.125
"KO_vs_Pos","A5SS","Gtpbp8","chr16","-",0.00327717191212765,-0.125
"KO_vs_Pos","A5SS","Ttc14","chr3","+",0.0131453265607795,0.125
"KO_vs_Pos","MXE","Rnf214","chr9","-",0.00185289035889204,0.125
"KO_vs_Pos","MXE","Ncoa6","chr2","-",0.00881872115185865,-0.125
"KO_vs_Pos","MXE","Dennd1a","chr2","-",0.033384610045007,0.125
"KO_vs_Pos","MXE","Trp53bp1","chr2","-",0.0350164667168349,0.125
"KO_vs_Pos","RI","Rbis","chr3","-",2.53706768854717e-11,0.125
"KO_vs_Pos","RI","Pan2","chr10","+",1.82932474008506e-05,0.125
"KO_vs_Pos","RI","Rgs11","chr17","+",0.018453701261767,0.125
"KO_vs_Pos","SE","Pogk","chr1","-",6.87621176357513e-09,0.125
"KO_vs_Pos","SE","ENSMUSG00000095041","chrJH584304.1","-",5.0005779984136e-07,0.125
"KO_vs_Pos","SE","Galnt7","chr8","-",8.42655105684088e-06,-0.125
"KO_vs_Pos","SE","Zc3h12c","chr9","-",0.000129026439358609,0.125
"KO_vs_Pos","SE","Kctd17","chr15","+",0.000192680856441911,-0.125
"KO_vs_Pos","SE","Lrp8","chr4","+",0.00101787697626766,-0.125
"KO_vs_Pos","SE","Epb41l2","chr10","+",0.0129203099145988,0.125
"KO_vs_Pos","SE","Phf21a","chr2","+",0.014016392892716,-0.125
"KO_vs_Pos","SE","Dnase1l1","chrX","-",0.024212890677395,-0.125
"KO_vs_Pos","SE","Vwa7","chr17","+",0.0286440056641054,-0.125
"KO_vs_Pos","A3SS","Cstf2","chrX","+",9.74146924411304e-05,-0.124
"KO_vs_Pos","A3SS","Ank2","chr3","-",0.000962741333429912,0.124
"KO_vs_Pos","A3SS","Tlcd3b","chr7","+",0.00221457188873894,0.124
"KO_vs_Pos","A5SS","Ube2d-ps","chr11","+",0.0373660452020558,-0.124
"KO_vs_Pos","MXE","Dab2ip","chr2","+",1.38167396702516e-05,-0.124
"KO_vs_Pos","MXE","Itgb3bp","chr4","-",0.00944034424224422,-0.124
"KO_vs_Pos","RI","Gas5","chr1","+",1.05431902524657e-12,0.124
"KO_vs_Pos","RI","Galt","chr4","+",0.0109662954241098,0.124
"KO_vs_Pos","RI","Plekhg4","chr8","+",0.04859666439935,0.124
"KO_vs_Pos","SE","Elapor1","chr3","-",4.72846413310643e-05,0.124
"KO_vs_Pos","SE","Bnc2","chr4","-",5.28481707870498e-05,0.124
"KO_vs_Pos","SE","Vav2","chr2","-",7.23755642427545e-05,0.124
"KO_vs_Pos","SE","Kcnu1","chr8","+",0.00242067535307461,0.124
"KO_vs_Pos","SE","Kazald1","chr19","+",0.00309746201657234,0.124
"KO_vs_Pos","SE","Kantr","chrX","-",0.00605755084737202,0.124
"KO_vs_Pos","SE","Lrif1","chr3","+",0.0321405943595933,0.124
"KO_vs_Pos","A3SS","Clmn","chr12","-",1.69994284924733e-06,0.123
"KO_vs_Pos","A3SS","Plekha5","chr6","+",1.6099620157808e-05,0.123
"KO_vs_Pos","MXE","Tbce","chr13","-",0.0041559160095393,-0.123
"KO_vs_Pos","RI","Krtcap3","chr5","+",0.0151756437260878,-0.123
"KO_vs_Pos","SE","Unc13a","chr8","-",7.5125191792531e-05,0.123
"KO_vs_Pos","SE","Slc29a1","chr17","-",0.000193472850612325,-0.123
"KO_vs_Pos","SE","3300005D01Rik","chr17","+",0.000204826720860937,0.123
"KO_vs_Pos","SE","Aox1","chr1","+",0.000294127378074365,-0.123
"KO_vs_Pos","SE","Eif5a","chr11","-",0.000336542378577995,-0.123
"KO_vs_Pos","SE","2410002F23Rik","chr7","+",0.0010450001336961,-0.123
"KO_vs_Pos","SE","Josd2","chr7","+",0.00159320480187352,-0.123
"KO_vs_Pos","SE","Ercc8","chr13","+",0.00195090499932319,0.123
"KO_vs_Pos","SE","Ddhd1","chr14","-",0.00299205442707562,-0.123
"KO_vs_Pos","SE","Klc1","chr12","+",0.0104057224501908,0.123
"KO_vs_Pos","SE","Platr20","chr11","-",0.0106667130717563,-0.123
"KO_vs_Pos","SE","Baz2b","chr2","-",0.0171106122989932,-0.123
"KO_vs_Pos","SE","Mpv17","chr5","-",0.0266312966922217,0.123
"KO_vs_Pos","SE","Rpl7a","chr2","+",0.0337434729080047,0.123
"KO_vs_Pos","A3SS","Fbxo48","chr11","+",0.0201484847087672,0.122
"KO_vs_Pos","MXE","Galnt7","chr8","-",0.00426715002616665,-0.122
"KO_vs_Pos","MXE","Dpy19l3","chr7","-",0.016548277777086,-0.122
"KO_vs_Pos","RI","Plpp5","chr8","+",1.67682438545537e-05,-0.122
"KO_vs_Pos","SE","Tia1","chr6","+",2.04873155477467e-13,0.122
"KO_vs_Pos","SE","Sirt2","chr7","+",6.1896908112003e-10,-0.122
"KO_vs_Pos","SE","Nap1l4","chr7","-",5.7790013097503e-07,-0.122
"KO_vs_Pos","SE","Cspp1","chr1","+",4.08119157889266e-06,-0.122
"KO_vs_Pos","SE","Rsbn1l","chr5","-",0.000174390423035494,0.122
"KO_vs_Pos","SE","Plekha6","chr1","+",0.000192909368769962,-0.122
"KO_vs_Pos","SE","B3galt1","chr2","+",0.000447808334474611,0.122
"KO_vs_Pos","SE","Mbd5","chr2","+",0.00699524273251864,0.122
"KO_vs_Pos","SE","Dennd1a","chr2","-",0.0214611538063312,-0.122
"KO_vs_Pos","A3SS","Gm26760","chr15","+",0.000320990329534255,-0.121
"KO_vs_Pos","MXE","Eya3","chr4","+",0.0024135691667868,-0.121
"KO_vs_Pos","MXE","Rapgef1","chr2","+",0.0053564374088446,0.121
"KO_vs_Pos","MXE","Sh3rf1","chr8","+",0.0326527181511651,-0.121
"KO_vs_Pos","MXE","Npnt","chr3","-",0.0355843719782676,-0.121
"KO_vs_Pos","RI","Catsperg1","chr7","-",5.3981420262626e-05,0.121
"KO_vs_Pos","RI","Dennd6b","chr15","-",0.000357034293200593,0.121
"KO_vs_Pos","SE","Tnk2","chr16","+",0.000875796914800319,-0.121
"KO_vs_Pos","SE","Sectm1a","chr11","-",0.00201876187800276,-0.121
"KO_vs_Pos","SE","Rbm3","chrX","-",0.00514676047389976,-0.121
"KO_vs_Pos","SE","Mapt","chr11","+",0.0171062606868138,-0.121
"KO_vs_Pos","SE","Uhrf1bp1l","chr10","+",0.0201068177212443,-0.121
"KO_vs_Pos","SE","Adgrb2","chr4","+",0.0467455880078385,-0.121
"KO_vs_Pos","MXE","Yes1","chr5","+",0.000780257243030803,0.12
"KO_vs_Pos","RI","Rtel1","chr2","+",0.00658133395957778,0.12
"KO_vs_Pos","SE","Kif1b","chr4","-",0,0.12
"KO_vs_Pos","SE","Senp8","chr9","-",0.000794706483341185,-0.12
"KO_vs_Pos","SE","Arid5a","chr1","+",0.0128505186966745,-0.12
"KO_vs_Pos","SE","St18","chr1","+",0.0161399290377677,0.12
"KO_vs_Pos","SE","Ntrk3","chr7","-",0.0213455491397513,-0.12
"KO_vs_Pos","SE","Pcsk2os1","chr2","-",0.0435069920284895,0.12
"KO_vs_Pos","A5SS","Gm12610","chr4","+",0.0013536838107388,-0.119
"KO_vs_Pos","MXE","Cyrib","chr15","-",5.99970522642071e-06,0.119
"KO_vs_Pos","MXE","Racgap1","chr15","-",9.44920611577434e-06,-0.119
"KO_vs_Pos","MXE","Agps","chr2","+",0.00122169669785507,-0.119
"KO_vs_Pos","SE","Srrm2","chr17","+",3.42430845583963e-12,0.119
"KO_vs_Pos","SE","Pi16","chr17","+",1.25049822016053e-08,0.119
"KO_vs_Pos","SE","Tut7","chr13","-",4.06515475210216e-07,0.119
"KO_vs_Pos","SE","4833420G17Rik","chr13","+",1.93739558625334e-05,-0.119
"KO_vs_Pos","SE","Picalm","chr7","+",3.44884039626834e-05,0.119
"KO_vs_Pos","SE","Pdzd2","chr15","-",5.33856171582927e-05,-0.119
"KO_vs_Pos","SE","Acbd5","chr2","+",0.000631477908632006,-0.119
"KO_vs_Pos","SE","Gm12610","chr4","+",0.000921946566855479,0.119
"KO_vs_Pos","SE","Rims2","chr15","+",0.00128502085170329,-0.119
"KO_vs_Pos","SE","Gm1698","chr8","+",0.00450359272499124,-0.119
"KO_vs_Pos","SE","1700003F12Rik","chr2","+",0.00942553151757584,-0.119
"KO_vs_Pos","SE","Tenm4","chr7","+",0.0161210847819757,0.119
"KO_vs_Pos","SE","Spry1","chr3","+",0.0187602488224804,-0.119
"KO_vs_Pos","RI","Abcc10","chr17","-",0.0123047926311799,0.118
"KO_vs_Pos","SE","Sh3glb2","chr2","-",0,0.118
"KO_vs_Pos","SE","Pkm","chr9","+",2.06137790532422e-06,0.118
"KO_vs_Pos","SE","Ppp4r1l-ps","chr2","-",6.05751382442073e-06,0.118
"KO_vs_Pos","SE","Magi3","chr3","-",0.000197408479639117,-0.118
"KO_vs_Pos","SE","Madd","chr2","-",0.000310061015692565,-0.118
"KO_vs_Pos","SE","Slc9a5","chr8","+",0.000654193423428092,0.118
"KO_vs_Pos","SE","Prune2","chr19","+",0.00193393881626669,-0.118
"KO_vs_Pos","SE","Tcf3","chr10","-",0.00432926693367612,0.118
"KO_vs_Pos","SE","Tut7","chr13","-",0.00772166490983226,-0.118
"KO_vs_Pos","SE","Ciz1","chr2","+",0.0103687221013954,0.118
"KO_vs_Pos","SE","Snx19","chr9","+",0.0138699126957155,0.118
"KO_vs_Pos","SE","Qrich1","chr9","+",0.0181603512406961,-0.118
"KO_vs_Pos","A3SS","Rps6ka6","chrX","-",0.0376496533045478,-0.117
"KO_vs_Pos","A5SS","Hira","chr16","+",1.14903649251237e-05,0.117
"KO_vs_Pos","A5SS","Uba5","chr9","-",0.0381521481653452,0.117
"KO_vs_Pos","MXE","Srpk2","chr5","-",2.80776010511965e-05,-0.117
"KO_vs_Pos","RI","Irf3","chr7","+",1.09246623505965e-05,0.117
"KO_vs_Pos","RI","Hdgfl2","chr17","+",0.000447571353214508,0.117
"KO_vs_Pos","RI","Tafazzin","chrX","+",0.000714805768477862,0.117
"KO_vs_Pos","RI","Ddx46","chr13","+",0.00102959068912928,0.117
"KO_vs_Pos","RI","Ufsp2","chr8","+",0.00479069665880123,0.117
"KO_vs_Pos","SE","Mroh1","chr15","+",9.70524346245658e-11,0.117
"KO_vs_Pos","SE","Arhgef10l","chr4","-",5.06196751182027e-10,0.117
"KO_vs_Pos","SE","Map4","chr9","+",4.77214192950178e-09,-0.117
"KO_vs_Pos","SE","Smarca2","chr19","+",0.000264534373033346,-0.117
"KO_vs_Pos","SE","D330041H03Rik","chr17","-",0.00168667196117623,-0.117
"KO_vs_Pos","SE","Cacnb3","chr15","+",0.00236871669007652,0.117
"KO_vs_Pos","SE","Rpap1","chr2","-",0.00371161780962733,0.117
"KO_vs_Pos","SE","Nudt13","chr14","+",0.00719493728363534,0.117
"KO_vs_Pos","SE","Parp9","chr16","+",0.00969324322681066,-0.117
"KO_vs_Pos","SE","Acvrl1","chr15","+",0.0118991101515072,-0.117
"KO_vs_Pos","SE","Grhl1","chr12","+",0.0144250259228575,-0.117
"KO_vs_Pos","SE","P2ry2","chr7","-",0.0182818975113282,0.117
"KO_vs_Pos","SE","Taf15","chr11","+",0.0368836141592922,0.117
"KO_vs_Pos","SE","Kars","chr8","-",0.0400975199066289,0.117
"KO_vs_Pos","A3SS","Fsd1l","chr4","+",4.6740592951602e-08,-0.116
"KO_vs_Pos","A3SS","Ttc14","chr3","+",0.00669958183887967,-0.116
"KO_vs_Pos","A5SS","Paxbp1","chr16","-",5.48082769676208e-06,0.116
"KO_vs_Pos","A5SS","Ube2v1","chr2","-",0.0120415200556212,0.116
"KO_vs_Pos","MXE","2610307P16Rik","chr13","-",1.64929988615747e-06,-0.116
