Supplementary Table 18:,"Enrichment score (ES) of A complex formation performed under control condition (CTR).for variants in libraries T1, T2. Missing values are reported as NA. ",Unnamed: 2
dasypus_novemcinctus-HsaEX0015478,0.53,T2
dasypus_novemcinctus-HsaEX0015478-full,0.57,T2
dasypus_novemcinctus-HsaEX0015478-full-int-hsa,0.34,T2
dasypus_novemcinctus-HsaEX0015478-full-ss5-hsa,0.56,T2
dasypus_novemcinctus-HsaEX0015478-int-hsa,0.37,T2
dasypus_novemcinctus-HsaEX0015478-intss5-hsa,0.38,T2
dasypus_novemcinctus-HsaEX0015478-ss5-hsa,0.56,T2
dasypus_novemcinctus-HsaEX0015478-TGC1mutTAC,0.71,T2
dasypus_novemcinctus-HsaEX0018777,0.63,T2
dasypus_novemcinctus-HsaEX0018777-full,0.62,T2
dasypus_novemcinctus-HsaEX0018777-full-int-hsa,0.56,T2
dasypus_novemcinctus-HsaEX0018777-full-ss5-hsa,0.43,T2
dasypus_novemcinctus-HsaEX0018777-int-hsa,0.53,T2
dasypus_novemcinctus-HsaEX0018777-ss5-hsa,0.48,T2
dasypus_novemcinctus-HsaEX0018777-TGC3mutTAC,0.66,T2
dasypus_novemcinctus-HsaEX0026467,1.6,T2
dasypus_novemcinctus-HsaEX0026467-int-hsa,1.31,T2
dasypus_novemcinctus-HsaEX0026467-ss5-hsa,1.46,T2
dasypus_novemcinctus-HsaEX0026467-TGC1mutTAC,1.57,T2
dasypus_novemcinctus-HsaEX0032608,0.21,T2
dasypus_novemcinctus-HsaEX0032608-int-hsa,0.07,T2
dasypus_novemcinctus-HsaEX0032608-ss5-hsa,0.43,T2
dasypus_novemcinctus-HsaEX0032608-TGC2mutTAC,0.16,T2
dasypus_novemcinctus-HsaEX0034483,0.06,T2
dasypus_novemcinctus-HsaEX0034483-full,0.05,T2
dasypus_novemcinctus-HsaEX0034483-full-int-hsa,0.06,T2
dasypus_novemcinctus-HsaEX0034483-full-ss5-hsa,0.05,T2
dasypus_novemcinctus-HsaEX0034483-int-hsa,0.04,T2
dasypus_novemcinctus-HsaEX0034483-intss5-hsa,0.06,T2
dasypus_novemcinctus-HsaEX0034483-ss5-hsa,0.03,T2
dasypus_novemcinctus-HsaEX0034483-TGC3mutTAC,0.05,T2
dasypus_novemcinctus-HsaEX0035450,0.68,T2
dasypus_novemcinctus-HsaEX0035450-full,0.62,T2
dasypus_novemcinctus-HsaEX0035450-full-int-hsa,0.11,T2
dasypus_novemcinctus-HsaEX0035450-full-ss5-hsa,1.09,T2
dasypus_novemcinctus-HsaEX0035450-int-hsa,0.13,T2
dasypus_novemcinctus-HsaEX0035450-intss5-hsa,0.32,T2
dasypus_novemcinctus-HsaEX0035450-ss5-hsa,0.79,T2
dasypus_novemcinctus-HsaEX0035450-TGC1mutTAC,0.54,T2
dasypus_novemcinctus-HsaEX0037213,0.16,T2
dasypus_novemcinctus-HsaEX0037213-int-hsa,0.78,T2
dasypus_novemcinctus-HsaEX0037213-ss5-hsa,0.1,T2
dasypus_novemcinctus-HsaEX0038702,0.5,T2
dasypus_novemcinctus-HsaEX0038702-int-hsa,0.27,T2
dasypus_novemcinctus-HsaEX0038702-ss5-hsa,0.39,T2
dasypus_novemcinctus-HsaEX0038702-TGC1mutTAC,0.38,T2
dasypus_novemcinctus-HsaEX0039034,0.25,T2
dasypus_novemcinctus-HsaEX0039034-full,0.19,T2
dasypus_novemcinctus-HsaEX0039034-full-int-hsa,0.15,T2
dasypus_novemcinctus-HsaEX0039034-full-ss5-hsa,0.27,T2
dasypus_novemcinctus-HsaEX0039034-int-hsa,0.22,T2
dasypus_novemcinctus-HsaEX0039034-intss5-hsa,0.19,T2
dasypus_novemcinctus-HsaEX0039034-ss5-hsa,0.19,T2
dasypus_novemcinctus-HsaEX0039034-TGC1mutTAC,0.17,T2
dasypus_novemcinctus-HsaEX0043752,0.34,T2
dasypus_novemcinctus-HsaEX0043752-int-hsa,0.33,T2
dasypus_novemcinctus-HsaEX0043752-ss5-hsa,0.36,T2
dasypus_novemcinctus-HsaEX0043752-TGC1mutTAC,0.3,T2
dasypus_novemcinctus-HsaEX0044638,0.83,T2
dasypus_novemcinctus-HsaEX0044638-full,0.7,T2
dasypus_novemcinctus-HsaEX0044638-full-ss5-hsa,0.64,T2
dasypus_novemcinctus-HsaEX0044638-int-hsa,0.74,T2
dasypus_novemcinctus-HsaEX0044638-intss5-hsa,0.57,T2
dasypus_novemcinctus-HsaEX0044638-ss5-hsa,0.67,T2
dasypus_novemcinctus-HsaEX0047035,0.37,T2
dasypus_novemcinctus-HsaEX0047035-int-hsa,0.32,T2
dasypus_novemcinctus-HsaEX0047035-ss5-hsa,0.59,T2
dasypus_novemcinctus-HsaEX0047035-TGC2mutTAC,0.49,T2
dasypus_novemcinctus-HsaEX0048492,0.73,T2
dasypus_novemcinctus-HsaEX0048492-full,0.62,T2
dasypus_novemcinctus-HsaEX0048492-full-int-hsa,0.9,T2
dasypus_novemcinctus-HsaEX0048492-full-ss5-hsa,0.77,T2
dasypus_novemcinctus-HsaEX0048492-int-hsa,0.71,T2
dasypus_novemcinctus-HsaEX0048492-intss5-hsa,0.92,T2
dasypus_novemcinctus-HsaEX0048492-ss5-hsa,0.85,T2
dasypus_novemcinctus-HsaEX0049811,0.25,T2
dasypus_novemcinctus-HsaEX0049811-int-hsa,0.29,T2
dasypus_novemcinctus-HsaEX0049811-ss5-hsa,0.23,T2
dasypus_novemcinctus-HsaEX0049811-TGC1mutTAC,0.18,T2
dasypus_novemcinctus-HsaEX0051317,1.84,T2
dasypus_novemcinctus-HsaEX0051317-full,2.48,T2
dasypus_novemcinctus-HsaEX0051317-full-int-hsa,2.04,T2
dasypus_novemcinctus-HsaEX0051317-full-ss5-hsa,1.63,T2
dasypus_novemcinctus-HsaEX0051317-int-hsa,3.3,T2
dasypus_novemcinctus-HsaEX0051317-intss5-hsa,2.49,T2
dasypus_novemcinctus-HsaEX0051317-ss5-hsa,1.5,T2
dasypus_novemcinctus-HsaEX0051317-TGC3mutTAC,1.4,T2
dasypus_novemcinctus-HsaEX0057701,1.33,T2
dasypus_novemcinctus-HsaEX0057701-int-hsa,1.28,T2
dasypus_novemcinctus-HsaEX0057701-ss5-hsa,1.66,T2
dasypus_novemcinctus-HsaEX0057701-TGC1mutTAC,1.03,T2
dasypus_novemcinctus-HsaEX0058030,0.78,T2
dasypus_novemcinctus-HsaEX0058030-ss5-hsa,0.58,T2
dasypus_novemcinctus-HsaEX0058030-TGC1mutTAC,0.81,T2
dasypus_novemcinctus-HsaEX0063412,0.29,T2
dasypus_novemcinctus-HsaEX0063412-int-hsa,0.19,T2
dasypus_novemcinctus-HsaEX0063412-ss5-hsa,0.29,T2
dasypus_novemcinctus-HsaEX0063412-TGC2mutTAC,0.19,T2
dasypus_novemcinctus-HsaEX0067208,0.76,T2
dasypus_novemcinctus-HsaEX0067208-int-hsa,0.67,T2
dasypus_novemcinctus-HsaEX0067208-ss5-hsa,0.88,T2
dasypus_novemcinctus-HsaEX0067208-TGC1mutTAC,0.53,T2
dasypus_novemcinctus-HsaEX1019114,0.06,T2
dasypus_novemcinctus-HsaEX1019114-TGC2mutTAC,0.2,T2
DCTN4-HsaEX0018777-int-HsaEX0000641,0.54,T2
DCTN4-HsaEX0018777-int-HsaEX0002213,0.67,T2
DCTN4-HsaEX0018777-int-HsaEX0012545,0.62,T2
DCTN4-HsaEX0018777-int-HsaEX0015276,0.37,T2
DCTN4-HsaEX0018777-int-HsaEX0015478,0.26,T2
DCTN4-HsaEX0018777-int-HsaEX0016976,0.7,T2
DCTN4-HsaEX0018777-int-HsaEX0026467,1.51,T2
DCTN4-HsaEX0018777-int-HsaEX0027672,2,T2
DCTN4-HsaEX0018777-int-HsaEX0032608,0.55,T2
DCTN4-HsaEX0018777-int-HsaEX0034483,0.27,T2
DCTN4-HsaEX0018777-int-HsaEX0035450,0.43,T2
DCTN4-HsaEX0018777-int-HsaEX0037213,0.65,T2
DCTN4-HsaEX0018777-int-HsaEX0038690,0.23,T2
DCTN4-HsaEX0018777-int-HsaEX0038702,0.44,T2
DCTN4-HsaEX0018777-int-HsaEX0039034,0.52,T2
DCTN4-HsaEX0018777-int-HsaEX0040386,0.6,T2
DCTN4-HsaEX0018777-int-HsaEX0043752,0.58,T2
DCTN4-HsaEX0018777-int-HsaEX0043902,0.92,T2
DCTN4-HsaEX0018777-int-HsaEX0044638,0.53,T2
DCTN4-HsaEX0018777-int-HsaEX0047035,0.4,T2
DCTN4-HsaEX0018777-int-HsaEX0048492,0.91,T2
DCTN4-HsaEX0018777-int-HsaEX0049811,0.47,T2
DCTN4-HsaEX0018777-int-HsaEX0051317,0.77,T2
DCTN4-HsaEX0018777-int-HsaEX0057701,0.81,T2
DCTN4-HsaEX0018777-int-HsaEX0058030,0.93,T2
DCTN4-HsaEX0018777-int-HsaEX0063374,0.41,T2
DCTN4-HsaEX0018777-int-HsaEX0063412,0.26,T2
DCTN4-HsaEX0018777-int-HsaEX0064198,0.27,T2
DCTN4-HsaEX0018777-int-HsaEX0067208,1.05,T2
DCTN4-HsaEX0018777-int-HsaEX1011407,0.84,T2
DCTN4-HsaEX0018777-int-HsaEX1019114,0.53,T2
DCTN4-HsaEX0018777-int-HsaEX1026556,0.26,T2
DCTN4-HsaEX0018777-int-HsaEX1045708,0.71,T2
DCTN4-HsaEX0018777-int-HsaEX6024969,0.25,T2
DCTN4-HsaEX0018777-int-HsaEX6040016,0.57,T2
DCTN4-HsaEX0018777-int-HsaEX6041122,1.3,T2
DCTN4-HsaEX0018777-int-HsaEX6063998,0.15,T2
DCTN4-HsaEX0018777-int-HsaEX6077184,1.05,T2
DCTN4-HsaEX0018777-int-HsaEX6093676,0.82,T2
DCTN4-HsaEX0018777-int-HsaEX7001225,1.23,T2
DCTN4-HsaEX0018777-intss5-HsaEX0000641,0.24,T2
DCTN4-HsaEX0018777-intss5-HsaEX0002213,0.91,T2
DCTN4-HsaEX0018777-intss5-HsaEX0012545,0.4,T2
DCTN4-HsaEX0018777-intss5-HsaEX0015276,0.39,T2
DCTN4-HsaEX0018777-intss5-HsaEX0015478,0.19,T2
DCTN4-HsaEX0018777-intss5-HsaEX0016976,0.56,T2
DCTN4-HsaEX0018777-intss5-HsaEX0026467,1.44,T2
DCTN4-HsaEX0018777-intss5-HsaEX0027672,3.24,T2
DCTN4-HsaEX0018777-intss5-HsaEX0032608,0.13,T2
DCTN4-HsaEX0018777-intss5-HsaEX0034483,0.05,T2
DCTN4-HsaEX0018777-intss5-HsaEX0035450,0.36,T2
DCTN4-HsaEX0018777-intss5-HsaEX0037213,0.28,T2
DCTN4-HsaEX0018777-intss5-HsaEX0038690,0.18,T2
DCTN4-HsaEX0018777-intss5-HsaEX0038702,0.19,T2
DCTN4-HsaEX0018777-intss5-HsaEX0039034,0.13,T2
DCTN4-HsaEX0018777-intss5-HsaEX0040386,0.17,T2
DCTN4-HsaEX0018777-intss5-HsaEX0043752,0.19,T2
DCTN4-HsaEX0018777-intss5-HsaEX0043902,0.36,T2
DCTN4-HsaEX0018777-intss5-HsaEX0044638,0.43,T2
DCTN4-HsaEX0018777-intss5-HsaEX0047035,0.29,T2
DCTN4-HsaEX0018777-intss5-HsaEX0048492,0.99,T2
DCTN4-HsaEX0018777-intss5-HsaEX0049811,0.14,T2
DCTN4-HsaEX0018777-intss5-HsaEX0051317,0.48,T2
DCTN4-HsaEX0018777-intss5-HsaEX0057701,0.83,T2
DCTN4-HsaEX0018777-intss5-HsaEX0058030,1.44,T2
DCTN4-HsaEX0018777-intss5-HsaEX0063374,0.29,T2
DCTN4-HsaEX0018777-intss5-HsaEX0063412,0.12,T2
DCTN4-HsaEX0018777-intss5-HsaEX0064198,0.06,T2
DCTN4-HsaEX0018777-intss5-HsaEX0067208,0.51,T2
DCTN4-HsaEX0018777-intss5-HsaEX1011407,0.62,T2
DCTN4-HsaEX0018777-intss5-HsaEX1019114,0.23,T2
DCTN4-HsaEX0018777-intss5-HsaEX1026556,0.24,T2
DCTN4-HsaEX0018777-intss5-HsaEX1045708,0.34,T2
DCTN4-HsaEX0018777-intss5-HsaEX6024969,0.08,T2
DCTN4-HsaEX0018777-intss5-HsaEX6040016,0.65,T2
DCTN4-HsaEX0018777-intss5-HsaEX6041122,0.31,T2
DCTN4-HsaEX0018777-intss5-HsaEX6063998,0.08,T2
DCTN4-HsaEX0018777-intss5-HsaEX6077184,0.78,T2
DCTN4-HsaEX0018777-intss5-HsaEX6093676,0.35,T2
DCTN4-HsaEX0018777-intss5-HsaEX7001225,1.84,T2
DCTN4-HsaEX0018777-WT,0.29,T2
DEPTOR-HsaEX1011407-int-HsaEX0000641,0.37,T2
DEPTOR-HsaEX1011407-int-HsaEX0002213,1.54,T2
DEPTOR-HsaEX1011407-int-HsaEX0012545,0.34,T2
DEPTOR-HsaEX1011407-int-HsaEX0015276,0.2,T2
DEPTOR-HsaEX1011407-int-HsaEX0015478,0.23,T2
DEPTOR-HsaEX1011407-int-HsaEX0016976,0.42,T2
DEPTOR-HsaEX1011407-int-HsaEX0018777,0.24,T2
DEPTOR-HsaEX1011407-int-HsaEX0026467,1.47,T2
DEPTOR-HsaEX1011407-int-HsaEX0027672,1.83,T2
DEPTOR-HsaEX1011407-int-HsaEX0032608,0.14,T2
DEPTOR-HsaEX1011407-int-HsaEX0034483,0.09,T2
DEPTOR-HsaEX1011407-int-HsaEX0035450,0.08,T2
DEPTOR-HsaEX1011407-int-HsaEX0037213,0.21,T2
DEPTOR-HsaEX1011407-int-HsaEX0038690,0.2,T2
DEPTOR-HsaEX1011407-int-HsaEX0038702,0.31,T2
DEPTOR-HsaEX1011407-int-HsaEX0039034,0.25,T2
DEPTOR-HsaEX1011407-int-HsaEX0040386,0.15,T2
DEPTOR-HsaEX1011407-int-HsaEX0043752,0.18,T2
DEPTOR-HsaEX1011407-int-HsaEX0043902,0.79,T2
DEPTOR-HsaEX1011407-int-HsaEX0044638,0.53,T2
DEPTOR-HsaEX1011407-int-HsaEX0047035,0.23,T2
DEPTOR-HsaEX1011407-int-HsaEX0048492,0.39,T2
DEPTOR-HsaEX1011407-int-HsaEX0049811,0.32,T2
DEPTOR-HsaEX1011407-int-HsaEX0051317,0.49,T2
DEPTOR-HsaEX1011407-int-HsaEX0057701,0.98,T2
DEPTOR-HsaEX1011407-int-HsaEX0058030,0.54,T2
DEPTOR-HsaEX1011407-int-HsaEX0063374,0.27,T2
DEPTOR-HsaEX1011407-int-HsaEX0063412,0.43,T2
DEPTOR-HsaEX1011407-int-HsaEX0064198,0.3,T2
DEPTOR-HsaEX1011407-int-HsaEX0067208,0.41,T2
DEPTOR-HsaEX1011407-int-HsaEX1019114,0.3,T2
DEPTOR-HsaEX1011407-int-HsaEX1026556,0.27,T2
DEPTOR-HsaEX1011407-int-HsaEX1045708,0.21,T2
DEPTOR-HsaEX1011407-int-HsaEX6024969,0.09,T2
DEPTOR-HsaEX1011407-int-HsaEX6040016,0.34,T2
DEPTOR-HsaEX1011407-int-HsaEX6041122,1.85,T2
DEPTOR-HsaEX1011407-int-HsaEX6063998,0.05,T2
DEPTOR-HsaEX1011407-int-HsaEX6077184,1.2,T2
DEPTOR-HsaEX1011407-int-HsaEX6093676,0.51,T2
DEPTOR-HsaEX1011407-int-HsaEX7001225,0.83,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0000641,0.36,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0002213,1.29,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0012545,0.79,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0015276,0.42,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0015478,0.28,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0016976,0.81,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0018777,0.3,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0026467,1.87,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0027672,2.9,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0032608,0.09,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0034483,0.05,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0035450,0.15,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0037213,0.21,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0038690,0.2,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0038702,0.13,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0039034,0.1,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0040386,0.1,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0043752,0.3,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0043902,1.09,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0044638,0.56,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0047035,0.32,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0048492,0.79,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0049811,0.23,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0051317,0.51,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0057701,0.74,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0058030,1.14,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0063374,0.24,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0063412,0.17,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0064198,0.24,T2
DEPTOR-HsaEX1011407-intss5-HsaEX0067208,0.47,T2
DEPTOR-HsaEX1011407-intss5-HsaEX1019114,0.17,T2
DEPTOR-HsaEX1011407-intss5-HsaEX1026556,0.4,T2
DEPTOR-HsaEX1011407-intss5-HsaEX1045708,0.53,T2
DEPTOR-HsaEX1011407-intss5-HsaEX6024969,0.07,T2
DEPTOR-HsaEX1011407-intss5-HsaEX6040016,0.61,T2
DEPTOR-HsaEX1011407-intss5-HsaEX6041122,1.14,T2
DEPTOR-HsaEX1011407-intss5-HsaEX6063998,0.1,T2
DEPTOR-HsaEX1011407-intss5-HsaEX6077184,0.8,T2
DEPTOR-HsaEX1011407-intss5-HsaEX6093676,0.33,T2
DEPTOR-HsaEX1011407-intss5-HsaEX7001225,1.03,T2
DEPTOR-HsaEX1011407-WT,0.51,T2
echinops_telfairi-HsaEX0000641,1.56,T2
echinops_telfairi-HsaEX0000641-int-hsa,0.36,T2
echinops_telfairi-HsaEX0000641-ss5-hsa,1.29,T2
echinops_telfairi-HsaEX0000641-TGC1mutTAC,2.31,T2
echinops_telfairi-HsaEX0002213,1.86,T2
echinops_telfairi-HsaEX0002213-int-hsa,1.63,T2
echinops_telfairi-HsaEX0002213-ss5-hsa,1.78,T2
echinops_telfairi-HsaEX0002213-TGC1mutTAC,2.09,T2
echinops_telfairi-HsaEX0012545,0.36,T2
echinops_telfairi-HsaEX0012545-int-hsa,0.46,T2
echinops_telfairi-HsaEX0012545-ss5-hsa,0.4,T2
echinops_telfairi-HsaEX0012545-TGC2mutTAC,0.35,T2
echinops_telfairi-HsaEX0015276,0.36,T2
echinops_telfairi-HsaEX0015276-full,0.38,T2
echinops_telfairi-HsaEX0015276-full-int-hsa,0.38,T2
echinops_telfairi-HsaEX0015276-full-ss5-hsa,0.58,T2
echinops_telfairi-HsaEX0015276-int-hsa,0.53,T2
echinops_telfairi-HsaEX0015276-intss5-hsa,0.43,T2
echinops_telfairi-HsaEX0015276-ss5-hsa,0.44,T2
echinops_telfairi-HsaEX0015276-TGC2mutTAC,0.32,T2
echinops_telfairi-HsaEX0015478,0.81,T2
echinops_telfairi-HsaEX0015478-full,0.65,T2
echinops_telfairi-HsaEX0015478-full-int-hsa,0.32,T2
echinops_telfairi-HsaEX0015478-full-ss5-hsa,1.07,T2
echinops_telfairi-HsaEX0015478-int-hsa,0.35,T2
echinops_telfairi-HsaEX0015478-intss5-hsa,0.35,T2
echinops_telfairi-HsaEX0015478-ss5-hsa,0.84,T2
echinops_telfairi-HsaEX0016976,0.79,T2
echinops_telfairi-HsaEX0016976-full,0.94,T2
echinops_telfairi-HsaEX0016976-full-int-hsa,1.11,T2
echinops_telfairi-HsaEX0016976-full-ss5-hsa,0.64,T2
echinops_telfairi-HsaEX0016976-int-hsa,1.02,T2
echinops_telfairi-HsaEX0016976-ss5-hsa,0.42,T2
echinops_telfairi-HsaEX0016976-TGC1mutTAC,0.86,T2
echinops_telfairi-HsaEX0026467,0.54,T2
echinops_telfairi-HsaEX0026467-int-hsa,1.08,T2
echinops_telfairi-HsaEX0026467-ss5-hsa,0.69,T2
echinops_telfairi-HsaEX0026467-TGC1mutTAC,0.48,T2
echinops_telfairi-HsaEX0032608,0.31,T2
echinops_telfairi-HsaEX0032608-int-hsa,0.14,T2
echinops_telfairi-HsaEX0032608-ss5-hsa,0.38,T2
echinops_telfairi-HsaEX0032608-TGC2mutTAC,0.26,T2
echinops_telfairi-HsaEX0035450,0.72,T2
echinops_telfairi-HsaEX0035450-int-hsa,0.45,T2
echinops_telfairi-HsaEX0035450-ss5-hsa,1.21,T2
echinops_telfairi-HsaEX0035450-TGC1mutTAC,0.55,T2
echinops_telfairi-HsaEX0038702,0.48,T2
echinops_telfairi-HsaEX0038702-full,0.46,T2
echinops_telfairi-HsaEX0038702-full-int-hsa,0.51,T2
echinops_telfairi-HsaEX0038702-full-ss5-hsa,0.33,T2
echinops_telfairi-HsaEX0038702-int-hsa,0.45,T2
echinops_telfairi-HsaEX0038702-intss5-hsa,0.29,T2
echinops_telfairi-HsaEX0038702-ss5-hsa,0.5,T2
echinops_telfairi-HsaEX0038702-TGC1mutTAC,0.22,T2
echinops_telfairi-HsaEX0039034,0.67,T2
echinops_telfairi-HsaEX0039034-full,0.68,T2
echinops_telfairi-HsaEX0039034-full-int-hsa,0.46,T2
echinops_telfairi-HsaEX0039034-full-ss5-hsa,0.41,T2
echinops_telfairi-HsaEX0039034-int-hsa,0.41,T2
echinops_telfairi-HsaEX0039034-ss5-hsa,0.38,T2
echinops_telfairi-HsaEX0039034-TGC1mutTAC,0.45,T2
echinops_telfairi-HsaEX0047035,0.48,T2
echinops_telfairi-HsaEX0047035-full,0.53,T2
echinops_telfairi-HsaEX0047035-full-int-hsa,0.44,T2
echinops_telfairi-HsaEX0047035-full-ss5-hsa,0.75,T2
echinops_telfairi-HsaEX0047035-int-hsa,0.43,T2
echinops_telfairi-HsaEX0047035-intss5-hsa,0.59,T2
echinops_telfairi-HsaEX0047035-ss5-hsa,0.83,T2
echinops_telfairi-HsaEX0047035-TGC2mutTAC,0.9,T2
echinops_telfairi-HsaEX0048492,0.28,T2
echinops_telfairi-HsaEX0048492-full,0.32,T2
echinops_telfairi-HsaEX0048492-full-int-hsa,0.37,T2
echinops_telfairi-HsaEX0048492-full-ss5-hsa,0.95,T2
echinops_telfairi-HsaEX0048492-int-hsa,0.46,T2
echinops_telfairi-HsaEX0048492-intss5-hsa,0.64,T2
echinops_telfairi-HsaEX0048492-ss5-hsa,0.94,T2
echinops_telfairi-HsaEX0048492-TGC1mutTAC,0.37,T2
echinops_telfairi-HsaEX0049811,0.02,T2
echinops_telfairi-HsaEX0049811-full,0.06,T2
echinops_telfairi-HsaEX0049811-full-int-hsa,0.1,T2
echinops_telfairi-HsaEX0049811-full-ss5-hsa,0.29,T2
echinops_telfairi-HsaEX0049811-int-hsa,0.06,T2
echinops_telfairi-HsaEX0049811-intss5-hsa,0.14,T2
echinops_telfairi-HsaEX0049811-ss5-hsa,0.2,T2
echinops_telfairi-HsaEX0049811-TGC1mutTAC,0.05,T2
echinops_telfairi-HsaEX0051317,0.89,T2
echinops_telfairi-HsaEX0051317-full,0.6,T2
echinops_telfairi-HsaEX0051317-full-int-hsa,1.6,T2
echinops_telfairi-HsaEX0051317-full-ss5-hsa,0.46,T2
echinops_telfairi-HsaEX0051317-int-hsa,1.86,T2
echinops_telfairi-HsaEX0051317-intss5-hsa,1.77,T2
echinops_telfairi-HsaEX0051317-ss5-hsa,0.88,T2
echinops_telfairi-HsaEX0051317-TGC2mutTAC,0.62,T2
echinops_telfairi-HsaEX0058030,0.67,T2
echinops_telfairi-HsaEX0058030-int-hsa,0.76,T2
echinops_telfairi-HsaEX0058030-ss5-hsa,0.7,T2
echinops_telfairi-HsaEX0058030-TGC1mutTAC,0.63,T2
echinops_telfairi-HsaEX0063412,12.69,T2
echinops_telfairi-HsaEX0063412-int-hsa,0.19,T2
echinops_telfairi-HsaEX0063412-ss5-hsa,5.71,T2
echinops_telfairi-HsaEX0067208,0.85,T2
echinops_telfairi-HsaEX0067208-int-hsa,1,T2
echinops_telfairi-HsaEX0067208-ss5-hsa,0.77,T2
echinops_telfairi-HsaEX0067208-TGC1mutTAC,0.42,T2
echinops_telfairi-HsaEX1019114,0.14,T2
echinops_telfairi-HsaEX1019114-TGC2mutTAC,0.21,T2
EPS15L1-HsaEX6093676-int-HsaEX0000641,0.46,T2
EPS15L1-HsaEX6093676-int-HsaEX0002213,0.84,T2
EPS15L1-HsaEX6093676-int-HsaEX0012545,0.67,T2
EPS15L1-HsaEX6093676-int-HsaEX0015276,0.6,T2
EPS15L1-HsaEX6093676-int-HsaEX0015478,0.49,T2
EPS15L1-HsaEX6093676-int-HsaEX0016976,0.73,T2
EPS15L1-HsaEX6093676-int-HsaEX0018777,0.36,T2
EPS15L1-HsaEX6093676-int-HsaEX0026467,1.81,T2
EPS15L1-HsaEX6093676-int-HsaEX0027672,1.54,T2
EPS15L1-HsaEX6093676-int-HsaEX0032608,0.42,T2
EPS15L1-HsaEX6093676-int-HsaEX0034483,0.69,T2
EPS15L1-HsaEX6093676-int-HsaEX0035450,0.56,T2
EPS15L1-HsaEX6093676-int-HsaEX0037213,1.01,T2
EPS15L1-HsaEX6093676-int-HsaEX0038690,0.38,T2
EPS15L1-HsaEX6093676-int-HsaEX0038702,1.01,T2
EPS15L1-HsaEX6093676-int-HsaEX0039034,1.1,T2
EPS15L1-HsaEX6093676-int-HsaEX0040386,1.11,T2
EPS15L1-HsaEX6093676-int-HsaEX0043752,0.79,T2
EPS15L1-HsaEX6093676-int-HsaEX0043902,1.38,T2
EPS15L1-HsaEX6093676-int-HsaEX0044638,0.92,T2
EPS15L1-HsaEX6093676-int-HsaEX0047035,0.54,T2
EPS15L1-HsaEX6093676-int-HsaEX0048492,0.66,T2
EPS15L1-HsaEX6093676-int-HsaEX0049811,0.54,T2
EPS15L1-HsaEX6093676-int-HsaEX0051317,1.46,T2
EPS15L1-HsaEX6093676-int-HsaEX0057701,1.12,T2
EPS15L1-HsaEX6093676-int-HsaEX0058030,0.9,T2
EPS15L1-HsaEX6093676-int-HsaEX0063374,0.88,T2
EPS15L1-HsaEX6093676-int-HsaEX0063412,0.38,T2
EPS15L1-HsaEX6093676-int-HsaEX0064198,0.68,T2
EPS15L1-HsaEX6093676-int-HsaEX0067208,0.61,T2
EPS15L1-HsaEX6093676-int-HsaEX1011407,1.55,T2
EPS15L1-HsaEX6093676-int-HsaEX1019114,1.23,T2
EPS15L1-HsaEX6093676-int-HsaEX1026556,0.58,T2
EPS15L1-HsaEX6093676-int-HsaEX1045708,0.57,T2
EPS15L1-HsaEX6093676-int-HsaEX6024969,0.27,T2
EPS15L1-HsaEX6093676-int-HsaEX6040016,0.79,T2
EPS15L1-HsaEX6093676-int-HsaEX6041122,3.35,T2
EPS15L1-HsaEX6093676-int-HsaEX6063998,0.17,T2
EPS15L1-HsaEX6093676-int-HsaEX6077184,1.54,T2
EPS15L1-HsaEX6093676-int-HsaEX7001225,1.31,T2
EPS15L1-HsaEX6093676-intss5-HsaEX0000641,1.5,T2
EPS15L1-HsaEX6093676-intss5-HsaEX0002213,1.76,T2
EPS15L1-HsaEX6093676-intss5-HsaEX0012545,0.82,T2
