VastDB.ID,gene,Ptbp1.dPSI,Ptbp1.signif,Srrm4.dPSI,Srrm4.signif,Srrm3.Srrm4.dPSI,Srrm3.Srrm4.signif,Srsf11.dPSI,Srsf11.signif,Rbfox2.dPSI,Rbfox2.signif,Srrm3.dPSI,Srrm3.signif,Rnps1.dPSI,Rnps1.signif
MmuEX0003425,Acbd6,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0003426,Acbd6,-1,n.s.,-0.8,n.s.,0,n.s.,-1,n.s.,-2,n.s.,-1,n.s.,-1,n.s.
MmuEX0045315,Stard9,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0045316,Stard9,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.
MmuEX0045317,Stard9,0,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,-1,n.s.,NA,n.s.
MmuEX0045318,Stard9,5,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.
MmuEX0042012,Sfxn5,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,NA
MmuEX0042013,Sfxn5,NA,n.s.,NA,n.s.,-2,n.s.,-6,n.s.,-2,n.s.,NA,n.s.,NA,n.s.
MmuEX0051295,Vav3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0051296,Vav3,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007465,BC034090,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007466,BC034090,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0026926,Lrrc14,NA,n.s.,NA,n.s.,NA,n.s.,1,n.s.,-5,n.s.,NA,n.s.,NA,n.s.
MmuEX0026927,Lrrc14,-2,n.s.,5.3,n.s.,0,n.s.,-1,n.s.,-6,n.s.,-3,n.s.,NA,NA
MmuEX0041909,Sf3b3,1,n.s.,-0.5,n.s.,3,n.s.,-3,n.s.,0,n.s.,-1,n.s.,-5,n.s.
MmuEX0019498,Fndc3c1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0019499,Fndc3c1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0019500,Fndc3c1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0032389,Nrxn2,-2,n.s.,0.6,n.s.,-5,n.s.,-11,n.s.,-7,n.s.,13,n.s.,12,n.s.
MmuEX0032390,Nrxn2,0,n.s.,-0.4,n.s.,-1,n.s.,-2,n.s.,-5,n.s.,1,n.s.,-3,n.s.
MmuEX0032391,Nrxn2,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0017597,Exoc6b,-2,n.s.,6.1,n.s.,16,higher,6,n.s.,4,n.s.,-4,n.s.,-8,n.s.
MmuEX0017598,Exoc6b,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0017599,Exoc6b,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0017600,Exoc6b,2,n.s.,-2.3,n.s.,3,n.s.,-2,n.s.,2,n.s.,0,n.s.,0,n.s.
MmuEX0006354,Asb13,3,n.s.,-3.1,n.s.,-2,n.s.,-7,n.s.,-3,n.s.,-5,n.s.,-1,n.s.
MmuEX0006355,Asb13,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0049912,Tubgcp5,-3,n.s.,-1.5,n.s.,-4,n.s.,-4,n.s.,-2,n.s.,-1,n.s.,-2,n.s.
MmuEX0007326,BC016423,1,n.s.,-3.9,n.s.,-2,n.s.,0,n.s.,-17,lower,-2,n.s.,-42,lower
MmuEX0007327,BC016423,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007328,BC016423,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007329,BC016423,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007330,BC016423,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007331,BC016423,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007332,BC016423,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0007333,BC016423,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-2,n.s.,0,n.s.
MmuEX0048099,Tmem87a,NA,NA,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048100,Tmem87a,NA,NA,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048101,Tmem87a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048102,Tmem87a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048103,Tmem87a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048104,Tmem87a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048105,Tmem87a,-14,lower,-4.5,n.s.,2,n.s.,6,n.s.,-8,n.s.,3,n.s.,9,n.s.
MmuEX0048106,Tmem87a,11,higher,3.2,n.s.,-10,n.s.,-14,lower,1,n.s.,-1,n.s.,-10,n.s.
MmuEX0048107,Tmem87a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0004646,Alg3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0004647,Alg3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0004648,Alg3,-1,n.s.,0.7,n.s.,0,n.s.,-1,n.s.,-3,n.s.,0,n.s.,1,n.s.
MmuEX0004649,Alg3,2,n.s.,-1.9,n.s.,2,n.s.,3,n.s.,-12,lower,-6,n.s.,-22,lower
MmuEX0036710,Ppp1r16a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0036711,Ppp1r16a,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0036712,Ppp1r16a,-5,n.s.,-1.6,n.s.,-2,n.s.,-11,n.s.,-12,n.s.,-5,n.s.,-4,n.s.
MmuEX0035495,Pla2g4b,3,n.s.,0,n.s.,7,n.s.,7,n.s.,8,n.s.,-1,n.s.,-4,n.s.
MmuEX0035496,Pla2g4b,0,n.s.,-5.4,n.s.,7,n.s.,-3,n.s.,-12,n.s.,-2,n.s.,-8,n.s.
MmuEX0035497,Pla2g4b,5,n.s.,-7,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,-4,n.s.,-19,lower
MmuEX0035498,Pla2g4b,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0035499,Pla2g4b,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0010527,Cdk10,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0010528,Cdk10,NA,NA,0.2,n.s.,-1,n.s.,0,n.s.,3,n.s.,NA,n.s.,NA,n.s.
MmuEX0010529,Cdk10,0,n.s.,0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,-1,n.s.
MmuEX0010530,Cdk10,0,n.s.,0.6,n.s.,2,n.s.,1,n.s.,0,n.s.,1,n.s.,-25,lower
MmuEX0010531,Cdk10,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0036485,Ppargc1b,0,n.s.,0.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,NA,n.s.
MmuEX0038093,Pxk,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038094,Pxk,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038095,Pxk,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038096,Pxk,0,n.s.,0,n.s.,-3,n.s.,-8,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0038097,Pxk,0,n.s.,0.7,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038098,Pxk,NA,n.s.,-0.5,n.s.,NA,n.s.,-2,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038099,Pxk,-1,n.s.,0,n.s.,-4,n.s.,-2,n.s.,-1,n.s.,0,n.s.,0,n.s.
MmuEX0038100,Pxk,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0011088,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011089,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011090,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011091,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011092,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0011093,Cfhr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0002164,6330503K22Rik,-7,n.s.,-4.4,n.s.,-1,n.s.,-5,n.s.,-8,n.s.,-2,n.s.,-2,n.s.
MmuEX0002165,6330503K22Rik,1,n.s.,-3.6,n.s.,-5,n.s.,-10,lower,-16,lower,-3,n.s.,3,n.s.
MmuEX0050992,Usp36,14,higher,0.6,n.s.,-1,n.s.,-6,n.s.,-7,n.s.,0,n.s.,-3,n.s.
MmuEX0011317,Chmp2a,-2,n.s.,3,n.s.,2,n.s.,-3,n.s.,10,n.s.,-4,n.s.,-1,n.s.
MmuEX0011318,Chmp2a,NA,n.s.,NA,n.s.,2,n.s.,3,n.s.,2,n.s.,NA,n.s.,NA,n.s.
MmuEX0033678,Parl,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.
MmuEX0033679,Parl,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0033680,Parl,-3,n.s.,0.2,n.s.,1,n.s.,-3,n.s.,-6,n.s.,1,n.s.,1,n.s.
MmuEX0039144,Rbm34,1,n.s.,0.3,n.s.,0,n.s.,-4,n.s.,0,n.s.,-1,n.s.,1,n.s.
MmuEX0039145,Rbm34,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0028856,Mga,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0028857,Mga,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048323,Tnks1bp1,0,n.s.,-0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0021838,Gria2,0,n.s.,-1.4,n.s.,NA,n.s.,-8,n.s.,NA,n.s.,0,n.s.,NA,NA
MmuEX0021839,Gria2,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0021840,Gria2,NA,n.s.,NA,n.s.,9,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,NA
MmuEX0012112,Coil,-1,n.s.,-1.4,n.s.,0,n.s.,2,n.s.,1,n.s.,-1,n.s.,0,n.s.
MmuEX0012113,Coil,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0012114,Coil,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0012115,Coil,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0046982,Tesk2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0046983,Tesk2,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0046984,Tesk2,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA
MmuEX0046985,Tesk2,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA,NA,NA,NA,NA
MmuEX0049559,Ttc37,-1,n.s.,0.6,n.s.,0,n.s.,-4,n.s.,-1,n.s.,-1,n.s.,0,n.s.
MmuEX0019954,Gal3st2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0036906,Pqlc1,-3,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0036907,Pqlc1,-4,n.s.,-4.2,n.s.,9,n.s.,-17,n.s.,-5,n.s.,-9,n.s.,-22,n.s.
MmuEX0036908,Pqlc1,1,n.s.,-4.4,n.s.,-2,n.s.,-5,n.s.,-2,n.s.,0,n.s.,-5,n.s.
MmuEX0041163,Scaper,0,n.s.,-4.4,n.s.,2,n.s.,-1,n.s.,0,n.s.,0,n.s.,-3,n.s.
MmuEX0041164,Scaper,-2,n.s.,-1.1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0041165,Scaper,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0041166,Scaper,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0041167,Scaper,2,n.s.,0.5,n.s.,0,n.s.,-4,n.s.,0,n.s.,0,n.s.,-4,n.s.
MmuEX0041168,Scaper,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0041169,Scaper,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0041170,Scaper,-1,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0018560,Fancd2,0,n.s.,1,n.s.,1,n.s.,1,n.s.,0,n.s.,0,n.s.,-2,n.s.
MmuEX0018561,Fancd2,1,n.s.,0.2,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.,0,n.s.
MmuEX0018562,Fancd2,-13,lower,-0.8,n.s.,1,n.s.,-14,n.s.,-6,n.s.,-6,n.s.,-16,lower
MmuEX0018563,Fancd2,0,n.s.,-1.6,n.s.,NA,n.s.,NA,n.s.,NA,NA,2,n.s.,-1,n.s.
MmuEX0010169,Cd226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010170,Cd226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010171,Cd226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010172,Cd226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0040331,Rpap1,0,n.s.,0.4,n.s.,2,n.s.,3,n.s.,0,n.s.,1,n.s.,-5,n.s.
MmuEX0040332,Rpap1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0040333,Rpap1,1,n.s.,-0.6,n.s.,0,n.s.,0,n.s.,-2,n.s.,-1,n.s.,-1,n.s.
MmuEX0040334,Rpap1,-12,lower,-7,n.s.,2,n.s.,-5,n.s.,3,n.s.,-11,n.s.,-21,lower
MmuEX0040335,Rpap1,0,n.s.,-2.1,n.s.,-1,n.s.,0,n.s.,-4,n.s.,0,n.s.,1,n.s.
MmuEX0034811,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034812,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034813,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034814,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034815,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034816,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034817,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034818,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034819,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034820,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0034821,Phka1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0053443,Zfp551,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0053444,Zfp551,NA,NA,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052939,Zdhhc5,0,n.s.,-2.8,n.s.,-1,n.s.,-9,n.s.,-7,n.s.,-1,n.s.,-3,n.s.
MmuEX0052940,Zdhhc5,1,n.s.,0.6,n.s.,0,n.s.,1,n.s.,-2,n.s.,0,n.s.,-1,n.s.
MmuEX0013080,Ctnnd1,0,n.s.,3.6,n.s.,-1,n.s.,-1,n.s.,-4,n.s.,1,n.s.,1,n.s.
MmuEX0013081,Ctnnd1,-14,lower,3.7,n.s.,4,n.s.,8,n.s.,10,higher,3,n.s.,6,n.s.
MmuEX0005282,Ano7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0005283,Ano7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010110,Ccs,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0010111,Ccs,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.
MmuEX0010112,Ccs,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0006849,Atp2c2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0006850,Atp2c2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0051274,Vav1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0051275,Vav1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0048049,Tmem63c,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048050,Tmem63c,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0048051,Tmem63c,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0024164,Ino80,-1,n.s.,0.4,n.s.,3,n.s.,-1,n.s.,1,n.s.,0,n.s.,-1,n.s.
MmuEX0000932,2310044G17Rik,6,n.s.,2.8,n.s.,0,n.s.,-5,n.s.,-4,n.s.,4,n.s.,-8,n.s.
MmuEX0016767,Emid1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0016768,Emid1,-1,n.s.,-8.1,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0016769,Emid1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,NA
MmuEX0016770,Emid1,0,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,2,n.s.,NA,n.s.
MmuEX0016771,Emid1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0016772,Emid1,0,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0016773,Emid1,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0016774,Emid1,0,n.s.,-1.2,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0010043,Ccnd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010044,Ccnd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0010045,Ccnd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0017750,Faah,-4,n.s.,0.2,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0017751,Faah,0,n.s.,0.2,n.s.,-1,n.s.,NA,n.s.,-1,n.s.,-2,n.s.,NA,NA
MmuEX0039695,Rhbdd3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA,NA,n.s.,NA,n.s.
MmuEX0039696,Rhbdd3,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0039697,Rhbdd3,-6,n.s.,0.2,n.s.,-5,n.s.,-7,n.s.,NA,NA,0,n.s.,4,n.s.
MmuEX0040197,Rnf43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0040198,Rnf43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0040199,Rnf43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0040200,Rnf43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0023318,Hsdl1,NA,n.s.,NA,n.s.,0,n.s.,0,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038195,R3hcc1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0038196,R3hcc1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0029722,Mrps17,1,n.s.,1.6,n.s.,3,n.s.,6,n.s.,2,n.s.,-2,n.s.,-4,n.s.
MmuEX0021452,Golgb1,0,n.s.,-0.7,n.s.,2,n.s.,1,n.s.,1,n.s.,-4,n.s.,-2,n.s.
MmuEX0021453,Golgb1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0022470,Hdac11,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0022471,Hdac11,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.
MmuEX0022472,Hdac11,-1,n.s.,0.2,n.s.,1,n.s.,-2,n.s.,-3,n.s.,-1,n.s.,-3,n.s.
MmuEX0041675,Senp6,NA,n.s.,4.2,n.s.,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0041676,Senp6,NA,NA,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0041677,Senp6,1,n.s.,0,n.s.,7,n.s.,-5,n.s.,2,n.s.,-2,n.s.,-12,lower
MmuEX0041678,Senp6,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,n.s.,NA,n.s.,NA,NA
MmuEX0041679,Senp6,0,n.s.,-19,lower,-32,lower,-8,n.s.,1,n.s.,-7,n.s.,-47,lower
MmuEX0041680,Senp6,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,n.s.,NA,NA
MmuEX0041681,Senp6,NA,n.s.,NA,n.s.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0004255,Agpat1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0004256,Agpat1,0,n.s.,-2.6,n.s.,-2,n.s.,-1,n.s.,-11,lower,1,n.s.,-17,lower
MmuEX0004257,Agpat1,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,n.s.,NA,NA
MmuEX0028839,Mfsd7c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0028840,Mfsd7c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052880,Zdhhc14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052881,Zdhhc14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0052882,Zdhhc14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MmuEX0041846,Setd5,3,n.s.,-0.6,n.s.,-3,n.s.,-2,n.s.,2,n.s.,0,n.s.,-10,lower
MmuEX0041847,Setd5,7,n.s.,-7.5,n.s.,-4,n.s.,-15,lower,-10,n.s.,-1,n.s.,-23,lower
MmuEX0041848,Setd5,12,higher,-2.6,n.s.,-3,n.s.,-7,n.s.,-9,n.s.,-1,n.s.,-21,lower
MmuEX0041849,Setd5,19,higher,-1.8,n.s.,1,n.s.,0,n.s.,-1,n.s.,1,n.s.,-8,n.s.
MmuEX0047224,Thoc5,14,higher,-4,n.s.,-2,n.s.,-7,n.s.,4,n.s.,-1,n.s.,1,n.s.
MmuEX0023850,Igsf9b,1,n.s.,-0.5,n.s.,-6,n.s.,-12,n.s.,-6,n.s.,NA,n.s.,NA,NA
MmuEX0023851,Igsf9b,0,n.s.,-0.9,n.s.,-1,n.s.,0,n.s.,1,n.s.,0,n.s.,NA,n.s.
